data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
athey2015machine1,mse,500,10,0.5,0.349158432334661,0.811148782027885,0.432097202865407,0.5837860587053,1,kriging,0.203134649328534
athey2015machine1,mse,500,10,0.5,0.558044116478413,0.801106018479913,0.902007583528757,0.457064314046875,1,earth,0.0377307857431529
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.60804419140344
xlearners1,mse,500,10,0.5,0.0130969805177301,0.981753903441131,0.521400387166068,0.959937943145633,1,kriging,17.8703107907345
xlearners1,mse,500,10,0.5,0.0165837905369699,0.660086099524051,0.26397545193322,0.896856046281755,1,earth,12.3596843663495
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,15.7244044234207
athey2017estimation1,mse,2000,10,0.5,0.489776874193922,0.862817593384534,0.49485732614994,0.483272188575938,1,kriging,0.738413241312572
athey2017estimation1,mse,2000,10,0.5,0.411746109370142,0.968060135142878,0.318454465130344,0.429030132712796,1,earth,0.431739929603691
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0402998006504489
athey2017estimation1,mse,2000,10,0.5,0.553830042248592,0.840777263278142,0.599998907186091,0.519052415853366,1,kriging,1.01666130957119
athey2017estimation1,mse,2000,10,0.5,0.756789031438529,0.950971534708515,0.990761645603925,0.947549795964733,1,earth,1.01703549041144
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0539034400776084
athey2017estimation1,mse,500,10,0.5,0.315955753438175,0.872999686282128,0.246094712987542,0.854323284467682,1,kriging,0.608252027280661
athey2017estimation1,mse,500,10,0.5,0.0457402805332094,0.962120700860396,0.831512068863958,0.539904466830194,1,earth,0.945650123016064
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.185164049202777
xlearners4,mse,2000,10,0.5,0.135106691624969,0.755718167405576,0.0668528387323022,0.937618832103908,1,kriging,0.00538718306570735
xlearners4,mse,2000,10,0.5,0.00528328027576208,0.765445516910404,0.174999843817204,0.98142363759689,1,earth,0.00595664915085563
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00592942017296562
xlearners4,mse,2000,10,0.5,0.165350370807573,0.391338490881026,0.0190034098923206,0.906778693199158,1,kriging,0.00102344187240942
xlearners4,mse,2000,10,0.5,2.99306120723486e-05,0.947681691963226,0.0823879237286747,0.975913151167333,1,earth,0.000874922871872745
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00276741232911018
athey2015machine1,mse,500,10,0.5,0.224546347046271,0.790704105049372,0.312547106295824,0.808912296080962,1,kriging,0.230414839327036
athey2015machine1,mse,500,10,0.5,0.628113874932751,0.980022326810285,0.997457263525575,0.813120976090431,1,earth,0.0197503569587761
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.00590880349522
xlearners4,mse,2000,10,0.5,0.0587994258385152,0.908528939355165,0.0254229207057506,0.956856197910383,1,kriging,0.0036331243643012
xlearners4,mse,2000,10,0.5,0.0289824807550758,0.646830018609762,0.0515787843614817,0.98257648316212,1,earth,0.00265626451493054
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00458017054859166
athey2017estimation2,mse,2000,10,0.5,0.454701929586008,0.898733673151582,0.582325730239972,0.805967054329813,1,kriging,1.81503366348696
athey2017estimation2,mse,2000,10,0.5,0.0290460847318172,0.719161003828049,0.0920866266824305,0.774188615614548,1,earth,0.875388177725343
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0671443051938603
athey2017estimation2,mse,2000,10,0.5,0.382202569395304,0.8047931115143,0.40033357962966,0.503165260190144,1,kriging,0.894117978500563
athey2017estimation2,mse,2000,10,0.5,0.607094706268981,0.998408370418474,0.417206679005176,0.480453677242622,1,earth,0.889034688386263
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0618848848000131
athey2015machine1,mse,500,10,0.5,0.357309537939727,0.816740302601829,0.355413453187793,0.534339020261541,1,kriging,0.219894784533568
athey2015machine1,mse,500,10,0.5,0.0129383925814182,0.995741278864443,0.978482534410432,0.82443466084078,1,earth,0.00802874262972401
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.84364052010308
athey2017estimation2,mse,500,10,0.5,0.201389804948121,0.801874236669391,0.60320458537899,0.536051989067346,1,kriging,1.81721940404376
athey2017estimation2,mse,500,10,0.5,0.084811155218631,0.734351514838636,0.229355588322505,0.325776710174978,1,earth,1.05867119796136
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0967902712822456
xlearners1,mse,2000,10,0.5,0.00272849062457681,0.658991970587522,0.701321876607835,0.877878358820453,1,kriging,16.578988020573
xlearners1,mse,2000,10,0.5,0.00317021738737822,0.91114090825431,0.084996021585539,0.944982772460207,1,earth,9.74149795584144
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,9.61899186920987
athey2017estimation2,mse,500,10,0.5,0.162793055642396,0.816724957432598,0.604804405244067,0.574652914889157,1,kriging,1.71528827628452
