data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners6,mse,500,20,0.5,0.748008849099278,0.638596018310636,0.0156409712508321,0.938661520369351,1,kriging,7.25178759167901e-06
xlearners6,mse,500,20,0.5,0.0823012846522033,0.938399992650375,0.0785594484768808,0.976624251576141,1,earth,1.14763594861841e-05
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,7.42987290004065e-06
xlearners6,mse,500,20,0.5,0.546030135359615,0.671965086366981,0.0802379753440619,0.902653232915327,1,kriging,1.96986052019426e-06
xlearners6,mse,500,20,0.5,0.47812651284039,0.427499040495604,0.934124415740371,0.974816459231079,1,earth,3.63171679822253e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,7.38775552065758e-06
athey2017estimation1,mse,500,10,0.5,0.37713144836016,0.721193927340209,0.442143854452297,0.283956342609599,1,kriging,0.720248068348678
athey2017estimation1,mse,500,10,0.5,0.335390745894983,0.662056741304696,0.844206079142168,0.576932067750022,1,earth,1.04101839266073
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.282938291069392
xlearners4,mse,500,10,0.5,0.184543295763433,0.654787531122565,0.277382563101128,0.880604930920526,1,kriging,0.00519871943276722
xlearners4,mse,500,10,0.5,0.034214491955936,0.403140233596787,0.18445438798517,0.952373608481139,1,earth,0.00918118522229185
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0195516539063407
athey2017estimation2,mse,2000,10,0.5,0.361710325581953,0.669315203791484,0.597039454849437,0.196538555901498,1,kriging,1.7345989357416
athey2017estimation2,mse,2000,10,0.5,0.354342832462862,0.998305160319433,0.173410883173347,0.909088823013008,1,earth,0.867810029841176
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0864816389501216
athey2017estimation1,mse,2000,10,0.5,0.490278465906158,0.76308496389538,0.176859026076272,0.613159745698795,1,kriging,0.449616404780648
athey2017estimation1,mse,2000,10,0.5,0.576352813048288,0.99939020560123,0.560154962353408,0.155889947665855,1,earth,0.987137001757903
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0640739341818435
athey2017estimation2,mse,500,10,0.5,0.154063816182315,0.80350271705538,0.445124748861417,0.325551562244073,1,kriging,1.24007882958575
athey2017estimation2,mse,500,10,0.5,0.448553180322051,0.983303530141711,0.661929126363248,0.922696053050458,1,earth,1.86634958674
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.14847852548637
athey2017estimation2,mse,2000,10,0.5,0.330071951728314,0.609323939075693,0.499623846262693,0.353386615402997,1,kriging,1.88174001966676
athey2017estimation2,mse,2000,10,0.5,0.546678399899974,0.959601746872067,0.746700953692198,0.194797125644982,1,earth,1.91295823777233
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0522227117931357
xlearners4,mse,500,10,0.5,0.0763562694191933,0.741509118350223,0.185708933277056,0.99456189526245,1,kriging,0.00668368016629372
