data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners6,mse,2000,20,0.5,0.45427498081699,0.629580727778375,0.34169511962682,0.948662809329107,1,kriging,3.16091370510679e-07
xlearners6,mse,2000,20,0.5,0.580622649518773,0.728651505894959,0.626348342979327,0.377966004656628,1,earth,5.39744584317075e-08
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,9.83294328509724e-08
athey2017estimation2,mse,500,10,0.5,0.297872249269858,0.829241760773584,0.292039063526317,0.644547778181732,1,kriging,1.11202599791513
athey2017estimation2,mse,500,10,0.5,0.382567069958895,0.998287816066295,0.22386368829757,0.130692121572793,1,earth,1.01218308826216
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.129436962985906
xlearners4,mse,2000,10,0.5,0.220903278095648,0.750286950264126,0.0270988559350371,0.983229767763987,1,kriging,0.00248669942256383
xlearners4,mse,2000,10,0.5,0.0421530725434422,0.988583058351651,0.0143699841573834,0.970101882237941,1,earth,0.00162288875986076
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00421649718643424
xlearners4,mse,500,10,0.5,0.0697745920624584,0.821878620656207,0.0604833434335887,0.873517493251711,1,kriging,0.00724444687977926
xlearners4,mse,500,10,0.5,0.00596764404326677,0.919995159143582,0.122856650967151,0.948993992060423,1,earth,0.0057063656841568
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00384542456228052
xlearners4,mse,500,10,0.5,0.165198845556006,0.839983396697789,0.0290089149493724,0.866576897213235,1,kriging,0.0121936944821593
xlearners4,mse,500,10,0.5,0.0554178291931748,0.78507524705492,0.0238058124668896,0.992091418011114,1,earth,0.0127799377892684
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0163866858092646
xlearners4,mse,2000,10,0.5,0.217726284638047,0.774366673547775,0.133178372168913,0.910457433201373,1,kriging,0.00343554524521047
xlearners4,mse,2000,10,0.5,0.0245536633301526,0.295186338713393,0.00442410190589726,0.877884806599468,1,earth,0.00418347980115687
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00452076790690367
xlearners4,mse,500,10,0.5,0.170011331792921,0.547955122077838,0.151165584335104,0.983718930045143,1,kriging,0.0341723391456336
xlearners4,mse,500,10,0.5,0.0960251656360924,0.655936222989112,0.0965199987404048,0.969468105584383,1,earth,0.0315163839306537
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0386010291956072
athey2017estimation2,mse,2000,10,0.5,0.37542193219997,0.789092188701034,0.517386379651725,0.585615689866245,1,kriging,1.8559996896397
athey2017estimation2,mse,2000,10,0.5,0.53383681923151,0.997009994229302,0.913511957041919,0.590085372328758,1,earth,1.85710481981801
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0857352907330782
xlearners1,mse,2000,10,0.5,0.00409150333143771,0.653298805933446,0.644927921704948,0.763333496637642,1,kriging,16.0471598411813
xlearners1,mse,2000,10,0.5,0.0315687297843397,0.901516373734921,0.0228214315138757,0.8991603795439,1,earth,7.88841111329194
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,2.42212467232151
xlearners6,mse,2000,20,0.5,0.035513230599463,0.644376525189728,0.0452008896972984,0.980162384686992,1,kriging,1.6644447444622e-06
xlearners6,mse,2000,20,0.5,0.10901673254557,0.57877513510175,0.214780790731311,0.990052549866959,1,earth,5.28033346282685e-06
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,4.91150173394092e-08
xlearners6,mse,2000,20,0.5,0.691271702293307,0.801259165164083,0.206503870431334,0.997082546819001,1,kriging,1.54696156903254e-08
xlearners6,mse,2000,20,0.5,0.97730768751353,0.596619294723496,0.912939237896353,0.997633804334328,1,earth,1.5844911669514e-08
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,1.15356337119858e-08
athey2017estimation2,mse,500,10,0.5,0.270493811229244,0.885492530185729,0.671207462670282,0.752221464412287,1,kriging,1.70275797076438
athey2017estimation2,mse,500,10,0.5,0.00807633297517896,0.994681464973837,0.327430449193344,0.94094274751842,1,earth,1.19172828994057
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.182912943612541
athey2017estimation1,mse,2000,10,0.5,0.508327178191394,0.803708620602265,0.215480300830677,0.611076428089291,1,kriging,0.401566085435612
athey2017estimation1,mse,2000,10,0.5,0.722306108335033,0.929855265188962,0.0264937491156161,0.859925964847207,1,earth,0.363234974094057
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0357790826007583
athey2017estimation2,mse,2000,10,0.5,0.382312953006476,0.732494815019891,0.603993552969769,0.508809436345473,1,kriging,1.79349919645145
athey2017estimation2,mse,2000,10,0.5,0.565221441211179,0.993128665490076,0.496449247235432,0.453079689759761,1,earth,1.44058419131462
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0976425385200655
xlearners6,mse,500,20,0.5,0.0690518328920007,0.844900163123384,0.082699658581987,0.968394931871444,1,kriging,1.31041456932901e-05
xlearners6,mse,500,20,0.5,0.66054336167872,0.00426503084599972,0.0769769309554249,0.978522603865713,1,earth,3.91856164713516e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,2.57925387787079e-06
athey2017estimation1,mse,500,10,0.5,0.304660392692313,0.842305868864059,0.721344498218969,0.436852261889726,1,kriging,1.02098458274039
athey2017estimation1,mse,500,10,0.5,0.416473385877907,0.99976503290236,0.609678470296785,0.594558373559266,1,earth,1.02207717471766
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.176363674893159
athey2017estimation2,mse,2000,10,0.5,0.401559648802504,0.723604023456573,0.485147593077272,0.699054332450032,1,kriging,1.17864706807379
athey2017estimation2,mse,2000,10,0.5,0.389736026292667,0.977115241810679,0.764373776735738,0.0090482768137008,1,earth,1.76267206795026
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0572852280465625
xlearners6,mse,2000,20,0.5,0.305280772736296,0.839784720679745,0.443850418785587,0.980288718361408,1,kriging,1.18396402139851e-06
xlearners6,mse,2000,20,0.5,0.993123521795496,0.199013998266309,0.439311676193029,0.272200830746442,1,earth,3.31705069203836e-09
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,5.45646290076164e-08
xlearners1,mse,500,10,0.5,0.0418181519489735,0.739989546826109,0.42924820818007,0.999081154353917,1,kriging,14.5487927174711
xlearners1,mse,500,10,0.5,0.0188442943617702,0.977746192365885,0.0594717003405094,0.971635978203267,1,earth,14.8966340344569
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.3351852889477
xlearners6,mse,2000,20,0.5,0.217605639481917,0.703773393761367,0.0963450206909329,0.985783075913787,1,kriging,4.33053631763337e-08
xlearners6,mse,2000,20,0.5,0.031228348845616,0.939844523789361,0.00589540251530707,0.998247899813578,1,earth,1.58570764152635e-07
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,3.01183824318427e-08
athey2017estimation2,mse,2000,10,0.5,0.361925227567554,0.67038380773738,0.0758308472577482,0.796691679395735,1,kriging,0.787198119995413
athey2017estimation2,mse,2000,10,0.5,0.521845247829333,0.998862562468275,0.436646348098293,0.398788780206814,1,earth,0.910940198750775
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0343530039760437
athey2017estimation2,mse,500,10,0.5,0.251442757900804,0.880742850247771,0.45055085606873,0.3912650027778,1,kriging,1.33035724222228
athey2017estimation2,mse,500,10,0.5,0.114060194930062,0.978509690612555,0.141532499343157,0.94826438720338,1,earth,1.31596441138784
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.17354466398879
xlearners4,mse,2000,10,0.5,0.109135016100481,0.537794372532517,0.0698002558201551,0.9857850917615,1,kriging,0.000451131883689713
xlearners4,mse,2000,10,0.5,0.126086304197088,0.760340405860916,0.00214573927223682,0.911290134536102,1,earth,0.000662358209822704
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00119186206178692
athey2017estimation1,mse,500,10,0.5,0.281626167707145,0.885601612739265,0.493283276911825,0.869668998755515,1,kriging,0.843336889026702
athey2017estimation1,mse,500,10,0.5,0.303401884622872,0.991980539867654,0.543525857850909,0.0806820015423,1,earth,0.956537146581578
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.17052713317084
athey2017estimation2,mse,500,10,0.5,0.367118591209874,0.916063260985538,0.613998185843229,0.737219217931852,1,kriging,1.73646018522709
athey2017estimation2,mse,500,10,0.5,0.451736394315958,0.999353610910475,0.125576022779569,0.185684215743095,1,earth,0.981141588107824
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.101190253308893
xlearners4,mse,500,10,0.5,0.102679944830015,0.783530622720718,0.23304074886255,0.869769697776064,1,kriging,0.00157492512856605
xlearners4,mse,500,10,0.5,0.067967516137287,0.907818512991071,0.203827612102032,0.969961825059727,1,earth,0.0026357577974398
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00756545444296444
xlearners6,mse,500,20,0.5,0.662274434464052,0.92394024413079,0.974406609078869,0.993450133362785,1,kriging,6.88000994115027e-06
xlearners6,mse,500,20,0.5,0.856585164088756,0.0960838242899626,0.803449221653864,0.3245179138612,1,earth,1.69584632657228e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,1.28059396100947e-06
athey2017estimation2,mse,2000,10,0.5,0.347216684371233,0.888424425385892,0.332518741022795,0.29766583791934,1,kriging,0.868797258833651
athey2017estimation2,mse,2000,10,0.5,0.560354876331985,0.997597042704001,0.994466840056702,0.986970284022391,1,earth,1.86074419550613
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0530114672115451
athey2017estimation2,mse,500,10,0.5,0.227343915728852,0.860988299362361,0.607610125793144,0.708717316854745,1,kriging,1.81307089778312
athey2017estimation2,mse,500,10,0.5,0.0627469597384334,0.996421412564814,0.667289875913411,0.023518942296505,1,earth,1.81203709933882
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.155394613548078
athey2015machine1,mse,500,10,0.5,0.271732088178396,0.834844848141074,0.237829410471022,0.717727100476623,1,kriging,0.212603701693834
athey2015machine1,mse,500,10,0.5,0.50821038056165,0.949713532580063,0.893863511038944,0.939197765896097,1,earth,0.0143705895989261
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.54837665474418
xlearners1,mse,500,10,0.5,0.120510203065351,0.661379023920745,0.218438731739298,0.803094695089385,1,kriging,12.5913111034333
xlearners1,mse,500,10,0.5,0.0322131912689656,0.97904139268212,0.740038807038218,0.98795350198634,1,earth,16.2294611690538
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.7666219860451
xlearners6,mse,2000,20,0.5,0.325738988816738,0.339822181966156,0.991598981898278,0.997151541523635,1,kriging,6.20224369659499e-07
xlearners6,mse,2000,20,0.5,0.108185371616855,0.903264549328014,0.754381510894746,0.991056376602501,1,earth,3.5840143277671e-08
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,3.33461502256956e-08
athey2017estimation1,mse,2000,10,0.5,0.451758823590353,0.841800496215001,0.571773694828153,0.537965144729242,1,kriging,0.972796737117672
athey2017estimation1,mse,2000,10,0.5,0.103937024250627,0.998855400364846,0.332217429764569,0.175448994152248,1,earth,0.371133327338657
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0170977967714029
athey2017estimation1,mse,2000,10,0.5,0.505091093247756,0.732372259488329,0.421650368953124,0.551121789962053,1,kriging,0.567680417115642
athey2017estimation1,mse,2000,10,0.5,0.734749853378162,0.998070426518098,0.183284505968913,0.500290571479127,1,earth,0.44489586475378
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0569750922555703
xlearners6,mse,2000,20,0.5,0.720183086581528,0.300385747803375,0.805976143572479,0.995862010400742,1,kriging,7.42245343424704e-07
xlearners6,mse,2000,20,0.5,0.0164039488881826,0.809579508611932,0.677534974412993,0.991016811225563,1,earth,2.72073084961259e-06
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,4.47041942291041e-08
athey2017estimation2,mse,2000,10,0.5,0.354950650362298,0.773339859675616,0.398703280836344,0.587164687924087,1,kriging,0.90728626975674
athey2017estimation2,mse,2000,10,0.5,0.433756286976859,0.987051993841305,0.0173287421930581,0.84567473619245,1,earth,0.742869895413197
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.091562795846682
athey2017estimation2,mse,500,10,0.5,0.293215681100264,0.997442191466689,0.707378460094333,0.601520458469167,1,kriging,1.70467206946916
athey2017estimation2,mse,500,10,0.5,0.00184499472379684,0.846247263019904,0.0285606593824923,0.813429066445678,1,earth,1.10713105456908
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.126516386917031
athey2017estimation2,mse,500,10,0.5,0.3999033854343,0.868883092189208,0.533837598748505,0.751115518854931,1,kriging,1.80799343386357
athey2017estimation2,mse,500,10,0.5,0.284832606324926,0.961710198083892,0.0684840551111847,0.00164467189460993,1,earth,0.884919849173161
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.138062221836986
