data,stat,n,p,min.node.size,sample.fraction,mtry,alpha,imbalance.penalty,tuned,method,value
athey2017estimation1,mse,2000,10,0.5,0.457595257321373,0.732801544480026,0.186328266281635,0.559316338505596,1,kriging,0.394170568954515
athey2017estimation1,mse,2000,10,0.5,0.464102084282786,0.442212854046375,0.372829162748531,0.710501474328339,1,earth,0.458610984522069
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0462248094590618
athey2017estimation2,mse,2000,10,0.5,0.361996290972456,0.926738343667239,0.620079359505326,0.556767063448206,1,kriging,1.76085387276638
athey2017estimation2,mse,2000,10,0.5,0.00707240030169487,0.487856209278107,0.172154731117189,0.917341835331172,1,earth,0.855244602947483
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0587740800707006
athey2015machine1,mse,2000,10,0.5,0.370370882796124,0.736237035132945,0.350928999483585,0.713839680654928,1,kriging,0.434011603835075
athey2015machine1,mse,2000,10,0.5,0.656338949687779,0.980726345442235,0.858933113282546,0.761689943028614,1,earth,0.00206608750577333
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.61646897516907
xlearners1,mse,2000,10,0.5,0.0152521436102688,0.602026312146336,0.547367124352604,0.985879003303126,1,kriging,16.0722293212993
xlearners1,mse,2000,10,0.5,0.00333902286365628,0.863827478839085,0.857447827234864,0.975847332971171,1,earth,16.0213019910765
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,2.40838237317365
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,7.06078282764426e-06
xlearners6,mse,500,20,0.633308493066579,0.5,0.642544521251693,0.362799104303122,0.0880068778060377,1,earth,2.76440320483768e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,1.25083656445605e-06
athey2015machine1,mse,2000,10,0.5,0.295419801725075,0.720395848387852,0.456138994544744,0.512719719437882,1,kriging,0.324831798973665
athey2015machine1,mse,2000,10,0.5,0.354760140413418,0.996576691512018,0.556751209544018,0.808115075342357,1,earth,0.00227400543912012
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.40229510341574
athey2017estimation1,mse,500,10,0.5,0.360557389678434,0.797484362497926,0.257561384933069,0.515733605483547,1,kriging,0.678855931192737
athey2017estimation1,mse,500,10,0.5,0.632364090764895,0.940471125533804,0.458645540522411,0.847549036843702,1,earth,0.838691118739513
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.257648303696736
xlearners4,mse,500,10,0.5,0.146921121049672,0.506873040692881,0.0430682455189526,0.997593279927969,1,kriging,0.0184243029946015
xlearners4,mse,500,10,0.5,0.00547918141819537,0.0729243978857994,0.0112363905645907,0.932535100029781,1,earth,0.0143644391712573
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0171969113873622
xlearners4,mse,500,10,0.5,0.186279350891709,0.749589167535305,0.480173110496253,0.97536235791631,1,kriging,0.0011835158787065
xlearners4,mse,500,10,0.5,0.0413470603525639,0.760031561134383,0.380978914443403,0.9670333575923,1,earth,0.000895676604117677
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00565706735435788
xlearners4,mse,2000,10,0.5,0.31195254647173,0.795901869656518,0.0760906580835581,0.994625073857605,1,kriging,0.00168179710294085
xlearners4,mse,2000,10,0.5,0.112841800553724,0.698227523360401,0.0444060694426298,0.921016561565921,1,earth,0.00291882197880493
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00252017242934664
athey2015machine1,mse,500,10,0.5,0.322599848965183,0.773305797716603,0.616197486640885,0.748611434129998,1,kriging,0.00642754169051235
athey2015machine1,mse,500,10,0.5,0.441253389231861,0.895843079080805,0.167576303472742,0.984206478809938,1,earth,0.218253561153314
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.09836891286491
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,4.43783991098664e-05
xlearners6,mse,500,20,0.706334308721125,0.5,0.734059180598706,0.873948317719623,0.99883718136698,1,earth,9.3382471040781e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,1.61162588640324e-06
xlearners1,mse,2000,10,0.5,0.0171965581830591,0.270322506316006,0.413654508069158,0.602562339045107,1,kriging,9.30958329112291
xlearners1,mse,2000,10,0.5,0.0361132470425218,0.00781985349021852,0.39757694164291,0.96601930516772,1,earth,9.3899458115612
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,1.86999942004184
athey2017estimation2,mse,2000,10,0.5,0.382780579384416,0.73350963788107,0.278652774170041,0.347697992576286,1,kriging,0.853692592497836
athey2017estimation2,mse,2000,10,0.5,0.312449346994981,0.976452059112489,0.497544469079003,0.996040745638311,1,earth,1.4701619295702
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0608850213004203
athey2017estimation1,mse,2000,10,0.5,0.451932001626119,0.862696510506794,0.396953450283036,0.564402606105432,1,kriging,0.479039616062303
athey2017estimation1,mse,2000,10,0.5,0.0019332249648869,0.387279488146305,0.719013383146375,0.999871988547966,1,earth,0.986310816138557
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0403385164426204
xlearners6,mse,500,20,0.5,0.405267777154222,0.919536689762026,0.772946855053306,0.985395870171487,1,kriging,2.23589364218648e-05
xlearners6,mse,500,20,0.5,0.0949098453857005,0.608956182841212,0.2845638403669,0.19282605452463,1,earth,9.34425450237036e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,3.26926012754185e-06
xlearners6,mse,2000,20,0.5,0.109836999559775,0.908555487869307,0.383204065961763,0.998801160836592,1,kriging,4.9556781390884e-06
xlearners6,mse,2000,20,0.5,0.041467098519206,0.0736441721674055,0.95744982524775,0.997667299816385,1,earth,8.2979233128299e-08
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,2.91539849518415e-08
athey2015machine1,mse,2000,10,0.5,0.351425097789615,0.819463827414438,0.507414515363052,0.600123652955517,1,kriging,0.00144469864708158
athey2015machine1,mse,2000,10,0.5,0.597686065128073,0.986785196466371,0.66508877906017,0.571414346108213,1,earth,0.00165696980834706
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.24644443510184
athey2017estimation1,mse,2000,10,0.5,0.511780223110691,0.847607146250084,0.720537069719285,0.37536105979234,1,kriging,1.00328516453237
athey2017estimation1,mse,2000,10,0.5,0.0433667411562055,0.323790043359622,0.691597822122276,0.844109216937795,1,earth,1.00214465332075
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0208877000941521
xlearners1,mse,2000,10,0.5,0.0248203442897648,0.590848945779726,0.875064429128543,0.904164393432438,1,kriging,16.0319038074034
xlearners1,mse,2000,10,0.5,0.0142756197601557,0.320753877982497,0.772021790035069,0.979895257158205,1,earth,16.002672126141
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.02915183368338
xlearners1,mse,2000,10,0.5,0.036627663532272,0.43943650694564,0.459452067967504,0.902103827800602,1,kriging,10.9700643876274
xlearners1,mse,2000,10,0.5,0.00502810254693031,0.363942095544189,0.193715155590326,0.677670814329758,1,earth,8.9875905350518
