data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners1,mse,500,10,0.5,0.00373334717005491,0.111065686680377,0.37665400840342,0.882867220556363,1,kriging,13.7802253309604
xlearners1,mse,500,10,0.5,0.00891035259701312,0.408038285328075,0.469208201626316,0.998185409698635,1,earth,15.3074327214991
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,16.4731944886218
athey2015machine1,mse,500,10,0.5,0.3028885491658,0.862997964723036,0.127679769648239,0.564675019821152,1,kriging,0.247159609960026
athey2015machine1,mse,500,10,0.5,0.000882953638210893,0.714643871877342,0.718243491835892,0.448548847343773,1,earth,0.0291931750801661
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.36098330900648
athey2017estimation1,mse,2000,10,0.5,0.403043691301718,0.77291991491802,0.494658133015037,0.399228328838944,1,kriging,0.730210532106479
athey2017estimation1,mse,2000,10,0.5,0.670222978806123,0.961570651270449,0.729721132665873,0.734816954704002,1,earth,0.986778397841486
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0492836006785249
athey2017estimation2,mse,2000,10,0.5,0.235128309344873,0.70400384417735,0.336315532680601,0.540285289753228,1,kriging,0.810516002397853
athey2017estimation2,mse,2000,10,0.5,0.306976523250341,0.663987343665212,0.201651374576613,0.120508958818391,1,earth,0.681722726070427
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0240656835781229
athey2015machine1,mse,500,10,0.5,0.290508217643946,0.85037844022736,0.382675410946831,0.500375854549929,1,kriging,0.217479819761989
athey2015machine1,mse,500,10,0.5,0.584519577445462,0.994138424983248,0.484535349300131,0.107606327394024,1,earth,0.0693411915184982
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.68708831079611
athey2017estimation2,mse,500,10,0.5,0.26796796079725,0.890073298942298,0.252173348329961,0.729182651033625,1,kriging,1.16720338495877
athey2017estimation2,mse,500,10,0.5,0.592904269695282,0.98947679833509,0.844378396403044,0.269029526505619,1,earth,1.73721864389795
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.170770919473694
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,5.94359315195451e-06
xlearners6,mse,500,20,0.320745036937296,0.5,0.0473737493157387,0.655500561697409,0.302315377630293,1,earth,7.32288442138614e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,4.99021281580423e-06
athey2015machine1,mse,2000,10,0.5,0.345584032125771,0.761947702383623,0.165220187976956,0.507502109277993,1,kriging,0.561994431700059
athey2015machine1,mse,2000,10,0.5,0.0655215075239539,0.999286054167897,0.0671036641579121,0.507914146408439,1,earth,0.655826112505787
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.55136731410526
athey2017estimation1,mse,500,10,0.5,0.390796415042132,0.872637500055134,0.458518997998908,0.659579883795232,1,kriging,0.751118925172259
athey2017estimation1,mse,500,10,0.5,0.72411945508793,0.985530262812972,0.15650239167735,0.799008983420208,1,earth,0.621819910438262
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.126298439204397
xlearners1,mse,500,10,0.5,0.0483629452064633,0.380399744259194,0.996817998355255,0.968044246779755,1,kriging,19.4451843519979
xlearners1,mse,500,10,0.5,0.00189022230915725,0.97612060373649,0.7039825306274,0.699440385913476,1,earth,18.6631317169166
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,16.6214950011993
xlearners1,mse,500,10,0.5,0.127065035281703,0.736608506646007,0.00623573502525687,0.977012183051556,1,kriging,14.6285249942134
xlearners1,mse,500,10,0.5,0.0163356254342943,0.586303275544196,0.981797220185399,0.991410766262561,1,earth,18.3892033404233
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,16.7017507554693
xlearners1,mse,2000,10,0.5,0.0295727136544883,0.841308148112148,0.377031684620306,0.974774659145623,1,kriging,10.7052707635376
xlearners1,mse,2000,10,0.5,0.0344672799110413,0.786260527791455,0.105183160398155,0.995986402966082,1,earth,9.86472585730754
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,6.1767893803398
athey2015machine1,mse,2000,10,0.5,0.358111154986545,0.720852474682033,0.475458851084113,0.476050650235265,1,kriging,0.305461241070608
athey2015machine1,mse,2000,10,0.5,0.536498430650681,0.981469799298793,0.0136444002855569,0.477112230379134,1,earth,0.771684006958255
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.70911099279904
xlearners1,mse,2000,10,0.5,0.0808717142790556,0.511950322892517,0.549518244573846,0.795503420755267,1,kriging,16.1881938565158
xlearners1,mse,2000,10,0.5,0.00154646160081029,0.175723260035738,0.0893105159047991,0.980513345915824,1,earth,8.29512126879802
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.41848943638883
xlearners1,mse,500,10,0.5,0.0737408671993762,0.54535191715695,0.305427611572668,0.683224350679666,1,kriging,32.824699152174
xlearners1,mse,500,10,0.5,0.000891874078661203,0.976190764224157,0.870847714133561,0.867193884216249,1,earth,32.6754571477843
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,27.4232890989006
xlearners4,mse,500,10,0.5,0.119956025388092,0.642303271684796,0.0158691217657179,0.694222751539201,1,kriging,0.0208763599716892
xlearners4,mse,500,10,0.5,0.0336684412322938,0.488009744789451,0.00202183052897453,0.883838763460517,1,earth,0.0170848878991861
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0365676783205593
athey2017estimation1,mse,500,10,0.5,0.357047415804118,0.736365537624806,0.231708342442289,0.826366708846763,1,kriging,0.606096757309418
