data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners1,mse,2000,10,0.5,0.044655094621703,0.675663388799876,0.304614868015051,0.944681006949395,1,kriging,11.1308472121791
xlearners1,mse,2000,10,0.5,0.00288744829595089,0.791189798619598,0.855813603382558,0.954709205776453,1,earth,16.680002926313
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,9.55047740586629
xlearners6,mse,500,20,0.5,0.681269919034094,0.490680549526587,0.234044519253075,0.9981123234611,1,kriging,1.33418131521316e-06
xlearners6,mse,500,20,0.5,0.685158835956827,0.730751506052911,0.232708860421553,0.758337114937603,1,earth,1.38233020063318e-05
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,1.95065362110891e-06
athey2017estimation1,mse,2000,10,0.5,0.505010206485167,0.773482322692871,0.121214136714116,0.620063269976526,1,kriging,0.373755106771953
athey2017estimation1,mse,2000,10,0.5,0.127385245403275,0.614920997060835,0.52687113545835,0.72500236867927,1,earth,1.00216787858036
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.053907417002861
xlearners6,mse,500,20,0.5,0.789942001225427,0.592043281765655,0.20956720225513,0.987067518755794,1,kriging,1.11510593298757e-07
xlearners6,mse,500,20,0.5,0.83747372822836,0.614956202916801,0.154234314104542,0.920607733074576,1,earth,3.48574791802853e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,9.61758002447484e-07
athey2017estimation2,mse,2000,10,0.5,0.402467781212181,0.815668223192915,0.676372146466747,0.554835036629811,1,kriging,1.7210210918484
athey2017estimation2,mse,2000,10,0.5,0.0989117734134197,0.996851252391934,0.762804589001462,0.906691020587459,1,earth,1.72097892826373
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0703725192912557
xlearners4,mse,500,10,0.5,0.175044450908899,0.692745604552329,0.0343473725952208,0.840308584272861,1,kriging,0.00279420914281229
xlearners4,mse,500,10,0.5,0.0412915663328022,0.957276228815317,0.355542604112998,0.997204555431381,1,earth,0.00334690746814808
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00242392350509931
athey2017estimation2,mse,500,10,0.5,0.335160927847028,0.788866187911481,0.583931255154312,0.739431775407866,1,kriging,1.82314157627516
athey2017estimation2,mse,500,10,0.5,0.3881242335774,0.998162720119581,0.0630311453714967,0.7243426006753,1,earth,1.24155113902743
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.227869549168797
xlearners1,mse,500,10,0.5,0.0483140088617802,0.873523412737995,0.898535383865237,0.951077284524217,1,kriging,15.9686991306068
xlearners1,mse,500,10,0.5,0.00399819272570312,0.985895136138424,0.507865086896345,0.685374541208148,1,earth,16.1879987994276
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,15.2507666486847
athey2017estimation2,mse,500,10,0.5,0.346177201950923,0.979643235448748,0.451350798597559,0.582072655903175,1,kriging,1.32051648854722
athey2017estimation2,mse,500,10,0.5,0.175528863910586,0.915866429451853,0.911614051088691,0.253641826566309,1,earth,1.94047033871284
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.158628290543087
athey2015machine1,mse,2000,10,0.5,0.441814369056374,0.804372190963477,0.408670409116894,0.309040337568149,1,kriging,0.544848592933297
athey2015machine1,mse,2000,10,0.5,0.110133369918913,0.999586346093565,0.890366620849818,0.635502605000511,1,earth,0.00150746221381222
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.97714433965182
xlearners4,mse,2000,10,0.5,0.299185388488695,0.763340371660888,0.0540304279420525,0.99406588007696,1,kriging,0.00124754496050171
xlearners4,mse,2000,10,0.5,0.0342807210981846,0.000832338118925691,0.060936113120988,0.926151697058231,1,earth,0.000842354191498967
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00279445488400091
xlearners1,mse,500,10,0.5,0.0917003359645605,0.697684715036303,0.480195977259427,0.954755440121517,1,kriging,19.427230032441
xlearners1,mse,500,10,0.5,0.0122992021497339,0.635901774745435,0.949636309174821,0.958948926767334,1,earth,19.9935690350305
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,17.9310548855482
athey2017estimation1,mse,2000,10,0.5,0.649500655010343,0.911788407713175,0.454971165396273,0.638981435215101,1,kriging,0.604250132241012
athey2017estimation1,mse,2000,10,0.5,0.735014759935439,0.980692739598453,0.0282045244239271,0.00321765011176467,1,earth,0.282607040908006
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0758432153541552
athey2017estimation2,mse,2000,10,0.5,0.457934187026694,0.825014699948952,0.36014584871009,0.318399527808651,1,kriging,0.82250805900881
athey2017estimation2,mse,2000,10,0.5,0.422236405313015,0.993054637452587,0.275902369059622,0.106940996833146,1,earth,0.755821532094063
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0688015434308314
athey2017estimation1,mse,500,10,0.5,0.346050034509972,0.907499460503459,0.655268167611212,0.77488386281766,1,kriging,0.993623358634417
