data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
athey2017estimation2,mse,2000,10,0.5,0.423834472661838,0.767924836371094,0.485937447752804,0.500894432188943,1,kriging,1.0980886485983
athey2017estimation2,mse,2000,10,0.5,0.0306695436593145,0.437045763945207,0.393953643040732,0.613324797479436,1,earth,0.848933030951308
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0497402436973585
xlearners4,mse,2000,10,0.5,0.176248079864308,0.550049021607265,0.0923647659365088,0.942232422763482,1,kriging,0.00304359656816062
xlearners4,mse,2000,10,0.5,0.102699583163485,0.531505798920989,0.00499025755561888,0.927149551222101,1,earth,0.00485404154936462
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00428037729323648
xlearners6,mse,500,20,0.5,0.247180280741304,0.383294221712276,0.181056364439428,0.998540464788675,1,kriging,1.17551401637386e-08
xlearners6,mse,500,20,0.5,0.667304910719395,0.549212931655347,0.997138596372679,0.217487735208124,1,earth,1.18021999323432e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,2.12064542957021e-06
athey2017estimation1,mse,2000,10,0.5,0.404823137912899,0.773166559869424,0.187710504746065,0.489720563404262,1,kriging,0.39167653333237
athey2017estimation1,mse,2000,10,0.5,0.731314756907523,0.992616510950029,0.390322612598538,0.752550753997639,1,earth,0.50107951419472
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0369337717641802
xlearners6,mse,500,20,0.5,0.426233388483524,0.0562673599924892,0.742701459443197,0.438007477205247,1,kriging,7.95789842488178e-06
xlearners6,mse,500,20,0.5,0.0182162818964571,0.833923561964184,0.952978107845411,0.983163493918255,1,earth,2.45978653307439e-05
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,4.91045822558856e-06
athey2015machine1,mse,500,10,0.5,0.24569975794293,0.77846401068382,0.602241890970618,0.394967114087194,1,kriging,0.116330990185349
athey2015machine1,mse,500,10,0.5,0.452470065793023,0.976940235355869,0.786145248217508,0.862918449565768,1,earth,0.108343281098652
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.2473703133093
athey2017estimation2,mse,2000,10,0.5,0.356527408817783,0.781341626308858,0.494200326269493,0.716048094909638,1,kriging,1.31633742587373
athey2017estimation2,mse,2000,10,0.5,0.143227076390758,0.641241174191236,0.732503161067143,0.994225931586698,1,earth,1.79495534691543
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0761850941880029
athey2015machine1,mse,500,10,0.5,0.204854081384838,0.78757856041193,0.660212823422626,0.588480963604525,1,kriging,0.000287539789687542
athey2015machine1,mse,500,10,0.5,0.251417233841494,0.983751487918198,0.518717643339187,0.303396082716063,1,earth,0.00141157167992487
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.06563692314719
xlearners4,mse,2000,10,0.5,0.133668045513332,0.603125144960359,0.0304841434117407,0.890332779614255,1,kriging,0.00343040276019345
xlearners4,mse,2000,10,0.5,0.00326297525316477,0.625963137950748,0.0363701623864472,0.977606688160449,1,earth,0.00244857509228393
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00379212537604542
athey2017estimation1,mse,500,10,0.5,0.331556224497035,0.923053954262286,0.410097831161693,0.792462180368602,1,kriging,0.710210019994499
athey2017estimation1,mse,500,10,0.5,0.598890924593434,0.675259697949514,0.875502742128447,0.933219524100423,1,earth,1.00989436362811
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.13048257573671
athey2017estimation2,mse,2000,10,0.5,0.489030724624172,0.784421314718202,0.222692099632695,0.575868408894166,1,kriging,0.830072104141614
athey2017estimation2,mse,2000,10,0.5,0.454884050181136,0.971815144643188,0.900054554920644,0.0353781753219664,1,earth,1.84120713512075
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0692087094673731
athey2017estimation2,mse,500,10,0.5,0.272109838202596,0.81907798233442,0.638182031922042,0.70825701742433,1,kriging,1.92469785717462
athey2017estimation2,mse,500,10,0.5,0.0229523100424558,0.994336513802409,0.886904996819794,0.320195344043896,1,earth,1.92646662373121
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.108556968459984
xlearners1,mse,500,10,0.5,0.0280905989930034,0.88231327640824,0.402708270819858,0.923574971500784,1,kriging,19.5849461635472
xlearners1,mse,500,10,0.5,0.0507314007263631,0.983040431980044,0.973090672399849,0.9265493566636,1,earth,20.8197323221085
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,17.540750107483
athey2017estimation1,mse,2000,10,0.5,0.421761685982347,0.803624934516847,0.504358086036518,0.348332129651681,1,kriging,0.967437964628569
athey2017estimation1,mse,2000,10,0.5,0.0154762766323984,0.715233155526221,0.786560822976753,0.225232434924692,1,earth,0.967436926631195
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0431175421855443
athey2017estimation1,mse,2000,10,0.5,0.476756213931367,0.880578730721027,0.75393147347495,0.398012987803668,1,kriging,0.987173664860765
athey2017estimation1,mse,2000,10,0.5,0.271350458497182,0.97912509390153,0.0436142685357481,0.733957056887448,1,earth,0.380529732478989
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0509394911072823
athey2015machine1,mse,2000,10,0.5,0.341586429392919,0.829004735918716,0.720874173333868,0.716763359028846,1,kriging,0.00465395294215316
athey2015machine1,mse,2000,10,0.5,0.29738790798001,0.961221214849502,0.252683420665562,0.811061532935128,1,earth,0.432301191894014
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.42414186603175
xlearners1,mse,2000,10,0.5,0.00987940491177142,0.876816880190745,0.227042348589748,0.966503961477429,1,kriging,7.79190630689252
