data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners4,mse,500,10,0.5,0.19717813283205,0.675462112994865,0.161232003010809,0.982529241591692,1,kriging,0.00335564229794262
xlearners4,mse,500,10,0.5,0.00802879291586578,0.486790333641693,0.574872929835692,0.929442255757749,1,earth,0.000434461844505152
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00514387618218953
athey2015machine1,mse,500,10,0.5,0.292084255488589,0.807071981253102,0.60820940695703,0.623702705837786,1,kriging,0.0208845764081881
athey2015machine1,mse,500,10,0.5,0.470343526918441,0.997784892329946,0.580069604795426,0.869952642126009,1,earth,0.0183547210167804
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.62398357836559
athey2017estimation1,mse,2000,10,0.5,0.554635594133288,0.813139535719529,0.348951738793403,0.313776832306758,1,kriging,0.415457967343183
athey2017estimation1,mse,2000,10,0.5,0.469638159265742,0.918827410321683,0.674029281130061,0.471616475144401,1,earth,0.964934846918179
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0341019529272467
xlearners1,mse,500,10,0.5,0.0262324686627835,0.479006492998451,0.408667204203084,0.928946911823004,1,kriging,14.0431753760042
xlearners1,mse,500,10,0.5,0.000470635714009404,0.426270350581035,0.913286804920062,0.73366757761687,1,earth,16.0947404099799
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.5614400250821
xlearners4,mse,500,10,0.5,0.159593016142026,0.713026022771373,0.332495978102088,0.790722459787503,1,kriging,0.00223800072157219
xlearners4,mse,500,10,0.5,0.534196281805634,0.900483436649665,0.116814540000632,0.994729719357565,1,earth,0.00949142572861712
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0097525045809289
athey2015machine1,mse,500,10,0.5,0.338991176569834,0.872464790008962,0.520831088535488,0.382408266421407,1,kriging,0.00280524128943759
