data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
athey2017estimation1,mse,500,10,0.5,0.372455773875117,0.871565493522212,0.615754414116964,0.609023226192221,1,kriging,1.0166588154196
athey2017estimation1,mse,500,10,0.5,0.072523208335042,0.950337179470807,0.316199457040057,0.0167871520388871,1,earth,0.533675277948058
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.165429611882875
athey2015machine1,mse,2000,10,0.5,0.383584550581872,0.865697106812149,0.183180095627904,0.593770823674276,1,kriging,0.506491082762062
athey2015machine1,mse,2000,10,0.5,0.00382932345382869,0.597177247516811,0.300146161112934,0.944642436690629,1,earth,0.409323882540699
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.57250904584961
athey2017estimation1,mse,2000,10,0.5,0.388467839220539,0.788405610015616,0.668398391222581,0.348287385422736,1,kriging,0.991964691725377
athey2017estimation1,mse,2000,10,0.5,0.62279361160472,0.686558777699247,0.48576094256714,0.369490135693923,1,earth,0.661740004288483
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0379606277079011
athey2017estimation1,mse,2000,10,0.5,0.549054872710258,0.895947941113263,0.289171693148091,0.302447232184932,1,kriging,0.411923819718365
athey2017estimation1,mse,2000,10,0.5,0.653885379200801,0.69874623301439,0.291240578284487,0.655964855104685,1,earth,0.442715784466745
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0500084595360691
xlearners4,mse,2000,10,0.5,0.248278619721532,0.849129423964769,0.000835373532027006,0.981345777399838,1,kriging,0.00371174135699894
xlearners4,mse,2000,10,0.5,0.0121136412490159,0.0471986753400415,0.0566872495692223,0.904617136577144,1,earth,0.00176715290864138
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00224806076358575
athey2017estimation2,mse,500,10,0.5,0.219770773779601,0.872683105291799,0.229877634206787,0.612681261496618,1,kriging,1.27239884110955
athey2017estimation2,mse,500,10,0.5,0.346794998273253,0.725121520459652,0.654294811654836,0.826697958633304,1,earth,1.80691551858241
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.303216170593313
athey2015machine1,mse,2000,10,0.5,0.287134187063202,0.651762982364744,0.309314520098269,0.365517051192001,1,kriging,0.482629458299588
athey2015machine1,mse,2000,10,0.5,0.119705446530133,0.996378185926005,0.162527514854446,0.0634722956456244,1,earth,0.615840300715346
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.5461690628293
athey2017estimation1,mse,2000,10,0.5,0.512492824578658,0.69166571344249,0.65619825036265,0.31647458486259,1,kriging,1.00509011541883
athey2017estimation1,mse,2000,10,0.5,0.629920163890347,0.957958662882447,0.502148027066141,0.828781587304547,1,earth,1.00523131879427
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0403680922551975
xlearners1,mse,2000,10,0.5,0.0158759013283998,0.829369277926162,0.208019905723631,0.70941572659649,1,kriging,8.13552742960226
xlearners1,mse,2000,10,0.5,0.00351603119634092,0.899232081603259,0.0751651430036873,0.856828670948744,1,earth,7.95074626349374
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,2.81896209141709
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,1.70887196311644e-06
