data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners6,mse,500,20,0.5,0.82273384463042,0.53422116721049,0.0108413747511804,0.934663029620424,1,kriging,1.65569388900847e-08
xlearners6,mse,500,20,0.5,0.522952533327043,0.666394051164389,0.0652867525350302,0.996015811804682,1,earth,3.944095005134e-07
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,1.17484340604744e-06
xlearners1,mse,2000,10,0.5,0.0341131845489144,0.958728620316833,0.216259383130819,0.947487638099119,1,kriging,9.0970059885456
xlearners1,mse,2000,10,0.5,0.0143019962124527,0.663741047261283,0.323330910410732,0.899407210526988,1,earth,9.45513804058304
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.57770052013901
athey2017estimation2,mse,500,10,0.5,0.331979474518448,0.833426564233378,0.604838907718658,0.461917228531092,1,kriging,2.07687853349183
athey2017estimation2,mse,500,10,0.5,0.641153320204467,0.995569140883163,0.772815603297204,0.211834874702618,1,earth,2.07547791482216
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.208802293026082
xlearners4,mse,2000,10,0.5,0.253084871917963,0.782433827640489,0.130914967041463,0.940668153809384,1,kriging,0.00283307168027323
xlearners4,mse,2000,10,0.5,0.0837016503792256,0.72297669830732,0.0328579032793641,0.97844378487207,1,earth,0.00339263196340739
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00466563669814859
xlearners1,mse,500,10,0.5,0.0230386515613645,0.600387689657509,0.522312346613035,0.861899624112993,1,kriging,24.714746195139
xlearners1,mse,500,10,0.5,0.00434565893374383,0.534272343385965,0.191539074992761,0.950268112123013,1,earth,21.0872493194966
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,22.3174327723115
athey2017estimation2,mse,500,10,0.5,0.308606127277017,0.865303398109972,0.400222655618563,0.563760798424482,1,kriging,1.22669691102976
athey2017estimation2,mse,500,10,0.5,0.146375328302383,0.996672027045861,0.83010510285385,0.969172424869612,1,earth,1.73663812625945
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.25246517691714
xlearners1,mse,2000,10,0.5,0.0550687641371042,0.795645832549781,0.386998952599242,0.897159050218761,1,kriging,9.22815180424884
xlearners1,mse,2000,10,0.5,0.00545920897275209,0.745547555852681,0.0269601426552981,0.896585264476016,1,earth,8.89480621106905
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,5.37608772520232
athey2015machine1,mse,2000,10,0.5,0.445192964747548,0.876542002428323,0.284494291758165,0.581038892269135,1,kriging,0.476200621653801
athey2015machine1,mse,2000,10,0.5,0.00302298576571047,0.431093853665516,0.712307063862681,0.897717074258253,1,earth,0.00133078763705022
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.62580733923982
xlearners6,mse,500,20,0.5,0.919539638096467,0.114911919925362,0.28877159091644,0.946006270824,1,kriging,2.08728790980102e-07
xlearners6,mse,500,20,0.5,0.622330301208422,0.014828325714916,0.076780337607488,0.625564148416743,1,earth,1.85395424782875e-08
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,9.85024704365838e-07
athey2015machine1,mse,2000,10,0.5,0.350981516530737,0.711631718557328,0.709827126935124,0.336592021631077,1,kriging,0.000660824508563391
athey2015machine1,mse,2000,10,0.5,0.509416066575795,0.958879160461947,0.561337741324678,0.93931724736467,1,earth,0.000159231079473373
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.4064841645751
xlearners6,mse,2000,20,0.5,0.0215354964602739,0.931297427974641,0.438906688941643,0.994113077409565,1,kriging,5.15584283830161e-07
xlearners6,mse,2000,20,0.5,0.071907099802047,0.535556268878281,0.138068370288238,0.973741561640054,1,earth,8.79480305890782e-09
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,5.05861506576175e-08
athey2017estimation1,mse,2000,10,0.5,0.607846224913374,0.914341647643596,0.674971141153947,0.473432642873377,1,kriging,1.0009887821942
athey2017estimation1,mse,2000,10,0.5,0.643015908775851,0.990643029101193,0.696403744630516,0.747000072151423,1,earth,1.00137493123949
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.046418173280813
athey2015machine1,mse,2000,10,0.5,0.27232885430567,0.716900571482256,0.370025436859578,0.46836319565773,1,kriging,0.405815884384498
athey2015machine1,mse,2000,10,0.5,0.681240599602461,0.99410239350982,0.165465984726325,0.91955053480342,1,earth,0.439705135796202
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.43947666050417
xlearners4,mse,500,10,0.5,0.182241046102718,0.934894727077335,0.382227316964418,0.894655434414744,1,kriging,0.00203863497958357
xlearners4,mse,500,10,0.5,0.317153865238652,0.880107103148475,0.116453645983711,0.99448537779972,1,earth,0.0133581342452872
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0215690482550244
athey2015machine1,mse,500,10,0.5,0.266875861212611,0.846934192348272,0.345751448534429,0.667817764449865,1,kriging,0.23972550240261
athey2015machine1,mse,500,10,0.5,0.00466575636528432,0.693200572859496,0.106715463334695,0.839400282828137,1,earth,0.277346529519218
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.81318421044347
xlearners1,mse,500,10,0.5,0.0290632308460772,0.552390793571249,0.527300212299451,0.985396212199703,1,kriging,16.9914776969801
xlearners1,mse,500,10,0.5,0.0492952107451856,0.0448952855076641,0.0161396479234099,0.940061947563663,1,earth,11.9991435222747
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.1497383117139
xlearners6,mse,2000,20,0.5,0.44833156070672,0.0668556939344853,0.0994543440174311,0.960063396021724,1,kriging,3.64438127274225e-08
xlearners6,mse,2000,20,0.5,0.611299630021676,0.972411080962047,0.0853359329048544,0.992230660049245,1,earth,3.17515910222631e-07
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,4.0879875815641e-08
athey2017estimation1,mse,2000,10,0.5,0.455542578594759,0.667674729833379,0.249072989216074,0.595327819697559,1,kriging,0.445128162529891
athey2017estimation1,mse,2000,10,0.5,0.360917800338939,0.88955515762791,0.510530570521951,0.998914244119078,1,earth,0.990838573173953
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0714775469422386
athey2017estimation1,mse,500,10,0.5,0.348468186100945,0.849757202435285,0.358343447791412,0.56094739981927,1,kriging,0.703474506914727
athey2017estimation1,mse,500,10,0.5,0.528439543908462,0.99700357276015,0.277818882837892,0.534056964563206,1,earth,0.669860631949088
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.23672223954778
xlearners6,mse,500,20,0.5,0.156002910342067,0.656214558519423,0.948296369751915,0.105714683886617,1,kriging,3.77140576483559e-07
