data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners1,mse,500,10,0.5,0.0690460468176752,0.544229717226699,0.850307504180819,0.955533672822639,1,kriging,16.9838947150225
xlearners1,mse,500,10,0.5,0.0435222701635212,0.897140104789287,0.246098223607987,0.981847242452204,1,earth,16.7487709075867
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,17.4749713217571
xlearners1,mse,500,10,0.5,0.0138248370494694,0.430658822879195,0.300478412071243,0.940940827596933,1,kriging,23.1433161380895
xlearners1,mse,500,10,0.5,0.0074034093413502,0.0732792119961232,0.458026489242911,0.990472849691287,1,earth,23.4287766867158
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,22.7805125460785
athey2015machine1,mse,2000,10,0.5,0.333407457219437,0.714106204686686,0.471380179515108,0.480830474756658,1,kriging,0.280888917618681
athey2015machine1,mse,2000,10,0.5,0.308802396291867,0.622111531440169,0.933246694505215,0.431346014840528,1,earth,0.00994815721091104
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.47559058841035
xlearners1,mse,500,10,0.5,0.0790428551845253,0.812272408977151,0.650293997023255,0.806048396974802,1,kriging,16.6491861187457
xlearners1,mse,500,10,0.5,0.00912254629656672,0.210466880816966,0.153429607162252,0.981886324472725,1,earth,14.0742619638515
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.9570252813655
athey2017estimation2,mse,2000,10,0.5,0.410191506380215,0.730378726730123,0.37875510356389,0.530077950330451,1,kriging,0.893032480082475
athey2017estimation2,mse,2000,10,0.5,0.607946274569258,0.980431750649586,0.240654251072556,0.187715019565076,1,earth,0.786470179969256
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0441195712561886
xlearners1,mse,500,10,0.5,0.0615668278187513,0.501245644176379,0.604796042433009,0.60079645155929,1,kriging,18.434913385131
xlearners1,mse,500,10,0.5,0.00170055334456265,0.90499820606783,0.347896940773353,0.921946613350883,1,earth,16.006912442286
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,17.0687672529053
athey2017estimation1,mse,2000,10,0.5,0.510940392501652,0.813201620709151,0.43783925101161,0.586947548901662,1,kriging,0.53031929730917
athey2017estimation1,mse,2000,10,0.5,0.628021863754839,0.955192411085591,0.398419405566528,0.8022408306133,1,earth,0.493370961487747
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0539125538787444
xlearners6,mse,500,20,0.5,0.138313547009602,0.776274760253727,0.680206908844411,0.0489131328649819,1,kriging,8.40243494503084e-07
xlearners6,mse,500,20,0.5,0.353756845695898,0.797542142681777,0.426011952804402,0.528581607155502,1,earth,2.81297776681109e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,1.69654161593944e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,3.65816654084908e-06
xlearners6,mse,500,20,0.0147054456174374,0.5,0.954905704129487,0.64417189010419,0.576010228134692,1,earth,8.65676809964136e-07
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,3.62586097248574e-06
athey2017estimation1,mse,500,10,0.5,0.358347684610635,0.930014676880091,0.524415638297796,0.647850521374494,1,kriging,1.0164122859861
athey2017estimation1,mse,500,10,0.5,0.204775734106079,0.998265936039388,0.730405513197184,0.793107816018164,1,earth,1.01541039028445
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.158822481057169
xlearners4,mse,500,10,0.5,0.132214588811621,0.51163592422381,0.0113330872263759,0.924496267223731,1,kriging,0.0209679589387455
xlearners4,mse,500,10,0.5,0.0468654583673924,0.998600496677682,0.248757967259735,0.972865784540772,1,earth,0.010981050295927
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0168065338739743
athey2017estimation1,mse,2000,10,0.5,0.37951758899726,0.806799303274602,0.632396104978397,0.567508376901969,1,kriging,0.968616146744249
athey2017estimation1,mse,2000,10,0.5,0.417452974477783,0.999139095190912,0.297538039973006,0.149472662946209,1,earth,0.402118971667929
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.043357078771661
xlearners1,mse,2000,10,0.5,0.0148806991055608,0.566298284335062,0.569314078660682,0.980253404937685,1,kriging,15.9774708302515
xlearners1,mse,2000,10,0.5,0.00149356387555599,0.65312970452942,0.123890406219289,0.96789793134667,1,earth,8.98509635589226
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,8.05226106012931
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,1.63904661534836e-05
xlearners6,mse,500,20,0.706149289384484,0.5,0.775257031200454,0.0166204131674021,0.0809761078562587,1,earth,1.11186441713291e-05
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,3.14826783557037e-06
athey2015machine1,mse,500,10,0.5,0.23872537817806,0.796306774718687,0.369568396592513,0.779768747044727,1,kriging,0.151921721556745
athey2015machine1,mse,500,10,0.5,0.0681839913595468,0.947601983090863,0.00647978810593486,0.886977607151493,1,earth,0.191877564364088
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,1.91900631203522
athey2017estimation1,mse,500,10,0.5,0.440258000046015,0.960796244209632,0.578960424289107,0.673891344573349,1,kriging,1.03910017827749
athey2017estimation1,mse,500,10,0.5,0.206431014230475,0.990174003411084,0.734123778529465,0.313554694410414,1,earth,1.04182611431066
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.180574542420484
xlearners1,mse,2000,10,0.5,0.0309030895587057,0.855823581339791,0.583396626636386,0.784697774797678,1,kriging,16.0586343893867
xlearners1,mse,2000,10,0.5,0.0213387564290315,0.859525132691488,0.354242389788851,0.92271979036741,1,earth,7.76185523056369
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,1.69699889688152
xlearners4,mse,2000,10,0.5,0.146323402179405,0.65972091560252,0.190957623999566,0.992155876941979,1,kriging,0.00360401771169661
xlearners4,mse,2000,10,0.5,0.0524724868591875,0.553090885048732,0.201637364923954,0.98419283865951,1,earth,0.00169844505626701
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00497204745079707
xlearners4,mse,500,10,0.5,0.192603457486257,0.719727097079158,0.00164028629660606,0.981153644854203,1,kriging,0.0142374135632833
xlearners4,mse,500,10,0.5,0.187751204939559,0.14219858800061,0.0469527381937951,0.991734787356108,1,earth,0.0136642379886535
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00965752633619071
xlearners6,mse,2000,20,0.5,0.524835751624778,0.542457912350073,0.00183998560532928,0.987211851868778,1,kriging,1.89293931697348e-05
xlearners6,mse,2000,20,0.5,0.48209442384541,0.990984837058932,0.110715171322227,0.977019412210211,1,earth,2.36761643604885e-06
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,7.06467215127448e-08
xlearners6,mse,2000,20,0.5,0.0421621836721897,0.918347618309781,0.0311905303969979,0.999269471503794,1,kriging,1.57304078059697e-06
xlearners6,mse,2000,20,0.5,0.110464975005016,0.840801583835855,0.720151027431712,0.959821718977764,1,earth,2.39667701528901e-06
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,1.63864816554696e-08
xlearners4,mse,2000,10,0.5,0.154923318652436,0.944355968153104,0.0690737240947783,0.838381824549288,1,kriging,0.00454113787187809
xlearners4,mse,2000,10,0.5,0.0607325443997979,0.840825858060271,0.0877908868715167,0.902906253701076,1,earth,0.00518775348256197
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00777661898304034
athey2015machine1,mse,500,10,0.5,0.270252268761396,0.85081358300522,0.208639163756743,0.712674699258059,1,kriging,0.273670207676174
athey2015machine1,mse,500,10,0.5,0.0893289097584784,0.981947008753195,0.617831022944301,0.97276290692389,1,earth,0.00925844968696868
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.40097237854911
xlearners6,mse,2000,20,0.5,0.702671823324636,0.690804047044367,0.251052594510838,0.979049315443262,1,kriging,2.42552186841914e-06
xlearners6,mse,2000,20,0.5,0.0532082894351333,0.799394985660911,0.0231951007153839,0.99393695150502,1,earth,6.41087016667751e-06
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,7.04329737507224e-08
xlearners1,mse,500,10,0.5,0.014752988005057,0.391311293933541,0.777897349093109,0.781974949408323,1,kriging,16.0802873976442
xlearners1,mse,500,10,0.5,0.00296756695024669,0.526523420587182,0.340289524523541,0.955303011694923,1,earth,12.6523762365161
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.4283395836717
athey2017estimation1,mse,2000,10,0.5,0.455477470066398,0.695166066288948,0.34175935597159,0.732076310552657,1,kriging,0.489262545784441
athey2017estimation1,mse,2000,10,0.5,0.701514042681083,0.993250641506165,0.456020755227655,0.309083288302645,1,earth,0.562634361811783
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0507357477873623
athey2015machine1,mse,500,10,0.5,0.236445237649605,0.708648803643882,0.361394494771957,0.649473220575601,1,kriging,0.195206077717929
athey2015machine1,mse,500,10,0.5,0.299786524148658,0.985166176455095,0.990273969015107,0.867654609261081,1,earth,0.00364092058681935
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.62141213658738
athey2015machine1,mse,2000,10,0.5,0.332840750459582,0.721509326947853,0.196736454032362,0.355469886912033,1,kriging,0.551792231387052
athey2015machine1,mse,2000,10,0.5,0.0340958039741963,0.422347624087706,0.836815478745848,0.87303040153347,1,earth,0.00204997530238285
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.68641305433514
xlearners4,mse,2000,10,0.5,0.218210782855749,0.547903431812301,0.0629959600046277,0.817971019307151,1,kriging,0.00328002363916957
xlearners4,mse,2000,10,0.5,0.0560656492598355,0.981301574734971,0.0425416303332895,0.967953376937658,1,earth,0.00233832954600207
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00372777747322408
athey2017estimation2,mse,2000,10,0.5,0.354343656916171,0.713703752029687,0.258222043747082,0.541243144543841,1,kriging,0.90768097753997
athey2017estimation2,mse,2000,10,0.5,0.0250345631502569,0.620660235174,0.174900949466974,0.235138777177781,1,earth,0.834329323078363
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0743125466372558
athey2017estimation1,mse,2000,10,0.5,0.440677411155775,0.697656100615859,0.437507315771654,0.557528878329322,1,kriging,0.534372601339088
