data,stat,n,p,min.node.size,sample.fraction,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,1.29056305661227e-06
xlearners6,mse,500,20,0.517126722028479,0.5,0.0234893520828336,0.066652916604653,0.969999574590474,1,earth,1.9250847430154e-07
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,5.48107235825016e-07
xlearners6,mse,2000,20,0.5,0.0121036099735647,0.268588879378513,0.0930001179222018,0.979962023440748,1,kriging,1.38480558771641e-06
xlearners6,mse,2000,20,0.5,0.146672187838703,0.971057730494067,0.8329483254347,0.979988435516134,1,earth,2.69516833360094e-07
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,2.39346452589924e-08
athey2017estimation2,mse,500,10,0.5,0.256250974489376,0.795515728881583,0.51042738952674,0.457966436166316,1,kriging,1.93059547999381
athey2017estimation2,mse,500,10,0.5,0.132355220150203,0.99950877786614,0.133412610040978,0.96158630377613,1,earth,1.15247053342012
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.116744863648624
athey2017estimation1,mse,500,10,0.5,0.425429336261004,0.917895702179521,0.793624465586618,0.633032228797674,1,kriging,1.02618095656356
athey2017estimation1,mse,500,10,0.5,0.29360368847847,0.989636189071462,0.890545285772532,0.958946485072374,1,earth,1.02539065597637
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.19816166204968
xlearners6,mse,2000,20,0.5,0.0139250967185944,0.97140808426775,0.617637823335826,0.980056187603623,1,kriging,2.62920282988838e-06
xlearners6,mse,2000,20,0.5,0.0785114741884172,0.530487663345411,0.8778885693755,0.992667816812173,1,earth,5.16950807737016e-07
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,3.54035301574781e-08
xlearners6,mse,2000,20,0.5,0.0458376782480627,0.606811851495877,0.377062001731247,0.992466462077573,1,kriging,1.79337946002541e-06
xlearners6,mse,2000,20,0.5,0.270444652764127,0.499428716953844,0.773039010120556,0.990211915224791,1,earth,5.38161591096684e-07
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,2.73248335594516e-08
xlearners1,mse,2000,10,0.5,0.00652632024139166,0.735530162462965,0.794435708317906,0.962961319368333,1,kriging,15.9482514697412
xlearners1,mse,2000,10,0.5,0.00708905281499028,0.796655366197228,0.480210753623396,0.989344324218109,1,earth,10.9837373539683
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,2.29516928750992
xlearners1,mse,2000,10,0.5,0.0368398581631482,0.680318512720987,0.189990325830877,0.923813985427842,1,kriging,8.50621791678906
xlearners1,mse,2000,10,0.5,0.00179112073965371,0.982336815912277,0.167783269891515,0.876003054901958,1,earth,8.55331132704064
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,5.08564548904668
xlearners1,mse,2000,10,0.5,0.0381205964367837,0.981826800154522,0.295909400330856,0.887634189566597,1,kriging,9.70515552160403
xlearners1,mse,2000,10,0.5,0.0169071606360376,0.869370965287089,0.991275914013386,0.961120625957847,1,earth,16.3324407344982
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,4.6037524492363
athey2017estimation2,mse,2000,10,0.5,0.337217148160562,0.721464619738981,0.505136122694239,0.472146899439394,1,kriging,1.8444122569731
athey2017estimation2,mse,2000,10,0.5,0.0285441153682768,0.990401947172359,0.214812641264871,0.196208424633369,1,earth,0.88688229498889
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0809548045522879
athey2015machine1,mse,500,10,0.5,0.296010782010853,0.802135293604806,0.596234772121534,0.714010753668845,1,kriging,0.00216295107921059
athey2015machine1,mse,500,10,0.5,0.650894096586853,0.999936246545985,0.277217281749472,0.0932201319374144,1,earth,0.397782009683377
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.71870763055918
xlearners4,mse,500,10,0.5,0.147707794094458,0.817543119424954,0.292047406313941,0.889896450564265,1,kriging,0.00743705548785067
xlearners4,mse,500,10,0.5,0.105871284846216,0.29028421221301,0.0189699539914727,0.976028447737917,1,earth,0.00582024047260713
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00929628071128604
athey2017estimation2,mse,2000,10,0.5,0.377038746606559,0.819000447634608,0.485970953246579,0.369320615660399,1,kriging,1.13773870790853
