data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
athey2017estimation2,mse,500,10,0.5,0.282983527285978,0.724876181222498,0.431655818130821,0.396359301637858,1,kriging,1.25849878057008
athey2017estimation2,mse,500,10,0.5,0.240871796850115,0.997556640766561,0.785716868937016,0.639298364985734,1,earth,1.81927730432314
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.165208420709133
xlearners4,mse,500,10,0.5,0.164281788747758,0.825024583609775,0.178776631364599,0.963770868722349,1,kriging,0.00207588407890574
xlearners4,mse,500,10,0.5,0.0443495220970362,0.663770338287577,0.206713465275243,0.951472239335999,1,earth,0.00180896123561386
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00594574140389765
athey2015machine1,mse,2000,10,0.5,0.321111731464043,0.758733504684642,0.239390813279897,0.527558007277548,1,kriging,0.501075352935149
athey2015machine1,mse,2000,10,0.5,0.561173321446404,0.996494269464165,0.342500468483195,0.0935057133901864,1,earth,0.590903735957671
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.54969648653604
athey2017estimation2,mse,2000,10,0.5,0.444904499920085,0.854001010768116,0.270660904236138,0.447802370414138,1,kriging,0.858833276118136
athey2017estimation2,mse,2000,10,0.5,0.47670879191719,0.984177334466949,0.0622474914416671,0.0580286795739084,1,earth,0.685616577691066
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0547540645296437
xlearners6,mse,2000,20,0.5,0.252931392984465,0.0980774848721921,0.825105731841177,0.999903217656538,1,kriging,1.40824703337141e-06
xlearners6,mse,2000,20,0.5,0.248073077760637,0.911955057177693,0.58953068475239,0.280748991295695,1,earth,1.28564809977279e-07
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,2.31047816461897e-07
xlearners6,mse,500,20,0.5,0.245788056403399,0.0701797073706985,0.0934677524492145,0.937053526984528,1,kriging,5.77010839710927e-07
xlearners6,mse,500,20,0.5,0.18344378657639,0.762609533034265,0.0954919992946088,0.263105868827552,1,earth,1.82697055234849e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,6.45311178113452e-07
xlearners4,mse,500,10,0.5,0.133333547972143,0.905536958482116,0.0451158832293004,0.986649337457493,1,kriging,0.00719729394558985
xlearners4,mse,500,10,0.5,0.030507288640365,0.632957237539813,0.117230203468353,0.990967290475965,1,earth,0.00520637393741666
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0107263319013925
athey2015machine1,mse,2000,10,0.5,0.342211761279032,0.994188771117479,0.438826204976067,0.601500902092084,1,kriging,0.404359524385768
athey2015machine1,mse,2000,10,0.5,0.0825316496193409,0.711553026456386,0.853997549507767,0.532544776564464,1,earth,0.00107327467648522
