data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
athey2017estimation2,mse,500,10,0.5,0.292037985520437,0.840489020338282,0.501939271809533,0.570949738612399,1,kriging,1.97216748359038
athey2017estimation2,mse,500,10,0.5,0.134027928812429,0.995324394665658,0.571196832926944,0.697508431039751,1,earth,1.97129628957748
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.317401855747093
athey2015machine1,mse,2000,10,0.5,0.33156104106456,0.811806336743757,0.467387236421928,0.405049939639866,1,kriging,0.352200127558789
athey2015machine1,mse,2000,10,0.5,0.0162393238861114,0.43934099143371,0.17905169678852,0.976842718664557,1,earth,0.471908704303879
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.78431153755985
xlearners1,mse,2000,10,0.5,0.0331732423510402,0.601798210525885,0.543042651610449,0.824507107492536,1,kriging,15.970706614612
xlearners1,mse,2000,10,0.5,0.00306783826090395,0.921945148846135,0.44918862474151,0.971858380362391,1,earth,10.1736723618095
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,4.14934276209053
xlearners4,mse,2000,10,0.5,0.186176567338407,0.447463475167751,0.0490419059060514,0.905690805520862,1,kriging,0.00330425486832701
xlearners4,mse,2000,10,0.5,0.0860358341597021,0.395702984184027,0.0481931914109737,0.929007379803807,1,earth,0.00385092234422932
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00466248580281203
xlearners4,mse,2000,10,0.5,0.184239277150482,0.923517704941332,0.0407712538726628,0.952165939845145,1,kriging,0.00306346167123892
xlearners4,mse,2000,10,0.5,0.0936800786294043,0.4301618472673,0.120196578558534,0.978051410056651,1,earth,0.00312569424367909
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0049024033617249
xlearners4,mse,500,10,0.5,0.131722142454237,0.788403863785788,0.0701240913476795,0.78441092162393,1,kriging,0.00875052172269071
xlearners4,mse,500,10,0.5,0.00454077660106122,0.2302398129832,0.0759103603195399,0.970045139314607,1,earth,0.0107157655910736
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0159555811573338
athey2017estimation2,mse,500,10,0.5,0.255452577956021,0.86831630114466,0.606813265942037,0.537280512042344,1,kriging,1.70233245667513
athey2017estimation2,mse,500,10,0.5,0.0463695737998933,0.999465639470145,0.616094550583512,0.746167924255133,1,earth,1.69637073955493
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.186797578007051
xlearners1,mse,2000,10,0.5,0.0122734000906348,0.443494355073199,0.293050652369857,0.726754794828594,1,kriging,9.47176078619601
xlearners1,mse,2000,10,0.5,0.000759050017222762,0.259217004990205,0.036498473957181,0.9507072546985,1,earth,9.46754154193427
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,8.90756511572399
xlearners4,mse,2000,10,0.5,0.0746728572994471,0.390490348916501,0.00676271552219987,0.920236923266202,1,kriging,0.00194707290847877
xlearners4,mse,2000,10,0.5,0.0427248429041356,0.498019841732457,0.0139743112958968,0.695335007738322,1,earth,0.00193613319452034
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0026236832945286
xlearners1,mse,500,10,0.5,0.000218375353142619,0.372658075066283,0.339107419596985,0.856619112426415,1,kriging,11.8726908980268
xlearners1,mse,500,10,0.5,0.00333803589455783,0.818942218320444,0.843203833093867,0.998931581154466,1,earth,16.1426248085472
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.6905481214175
xlearners1,mse,500,10,0.5,0.0371935283765197,0.733928282279521,0.389240504708141,0.851298684952781,1,kriging,17.4564762841953
xlearners1,mse,500,10,0.5,0.00324715371243656,0.763293059077114,0.992635841481388,0.975579980760813,1,earth,21.7553434158144
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,17.3635804490616
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,1.96007231144594e-05
xlearners6,mse,500,20,0.288077910430729,0.5,0.119217096129432,0.142954699927941,0.318522092187777,1,earth,3.49194345757041e-05
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,1.43440088495779e-05
athey2015machine1,mse,2000,10,0.5,0.235697960713878,0.699192316969857,0.518099144566804,0.564447087002918,1,kriging,1.07452026250204e-05
athey2015machine1,mse,2000,10,0.5,0.0152781237848103,0.42925911443308,0.897794507676736,0.256420077057555,1,earth,2.5713198637765e-05
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.52759870256238
athey2015machine1,mse,500,10,0.5,0.261211282107979,0.840863116085529,0.738575506024063,0.594882745994255,1,kriging,0.0614859964102874
athey2015machine1,mse,500,10,0.5,0.198334232438356,0.803635408170521,0.0105436549056321,0.899158241925761,1,earth,0.340667880340977
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.10481977893627
xlearners6,mse,500,20,0.5,0.0160665458533913,0.00893220910802484,0.64492148370482,0.995288383914158,1,kriging,1.04743231098614e-06
xlearners6,mse,500,20,0.5,0.168987696059048,0.952830789145082,0.788735663983971,0.970377922290936,1,earth,3.19232889191284e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,2.37500493621841e-06
xlearners1,mse,500,10,0.5,0.0464612829964608,0.531588199781254,0.338927244767547,0.924933655187488,1,kriging,15.549958030546
xlearners1,mse,500,10,0.5,0.013819097308442,0.0532666342332959,0.64683500234969,0.935154981445521,1,earth,17.1234798183489
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,15.704963895824
athey2017estimation2,mse,500,10,0.5,0.192513879854232,0.762907448690385,0.803933009272441,0.689652062254027,1,kriging,1.70795987616026
athey2017estimation2,mse,500,10,0.5,0.369516392704099,0.995785302016884,0.461644279770553,0.882292588474229,1,earth,1.37101615451714
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.311002491270688
athey2017estimation2,mse,500,10,0.5,0.205254356609657,0.924850371666253,0.69306557928212,0.304609914775938,1,kriging,1.76945359578831
athey2017estimation2,mse,500,10,0.5,0.187522471882403,0.999854947905988,0.670295984484255,0.487022013170645,1,earth,1.76998440078718
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.213144183249324
xlearners4,mse,2000,10,0.5,0.317549237282947,0.64902265323326,0.0167065972927958,0.977773734834045,1,kriging,0.00241322833365095
xlearners4,mse,2000,10,0.5,0.248297095531598,0.695089636836201,0.0406282728072256,0.966271377634257,1,earth,0.00135747164030806
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00265122110202014
xlearners1,mse,2000,10,0.5,0.0423165273386985,0.682458172086626,0.339182706084102,0.584543552715331,1,kriging,8.02783978149142
xlearners1,mse,2000,10,0.5,0.00811377121135592,0.357246721861884,0.281131052877754,0.912530356086791,1,earth,7.77011444441666
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.53685600708601
athey2017estimation2,mse,2000,10,0.5,0.449350922368467,0.861657070694491,0.431737193372101,0.326557572698221,1,kriging,0.925376268562367
athey2017estimation2,mse,2000,10,0.5,0.7101247953251,0.996099608251825,0.931081651011482,0.045294648502022,1,earth,1.72299313956725
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0781635661894731
