data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
athey2017estimation1,mse,2000,10,0.5,0.435701227746904,0.628185633337125,0.41441509546712,0.355703582288697,1,kriging,0.488391613974756
athey2017estimation1,mse,2000,10,0.5,0.760734880110249,0.950182082131505,0.109145311638713,0.167594874277711,1,earth,0.344213691491003
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0412581877562354
xlearners1,mse,500,10,0.5,0.0262293221894652,0.320277670864016,0.304685048991814,0.946355144260451,1,kriging,11.4551036178008
xlearners1,mse,500,10,0.5,0.0109896769281477,0.641765367006883,0.9470114572905,0.98396519664675,1,earth,16.0276129731002
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,15.0859192980567
xlearners4,mse,500,10,0.5,0.292928669834509,0.672297805780545,0.197368883527815,0.883681860286742,1,kriging,0.0021602773399813
xlearners4,mse,500,10,0.5,0.0363136662635952,0.844812037190422,0.113712796010077,0.930014660116285,1,earth,0.00560244183364219
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00657441038980451
xlearners1,mse,2000,10,0.5,0.0125801048707217,0.773682310944423,0.486944284988567,0.951080605387688,1,kriging,12.0867571458161
xlearners1,mse,2000,10,0.5,0.00818019756115973,0.278799034189433,0.650804901961237,0.952268354129046,1,earth,16.0276775898276
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,5.4286900136955
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,1.14005716018268e-05
xlearners6,mse,500,20,0.624822448939085,0.5,0.68027545674704,0.772714520338923,0.755482101347297,1,earth,1.96359689076908e-05
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,8.25363497600281e-06
athey2017estimation2,mse,500,10,0.5,0.308546128217131,0.74499558727257,0.544085286324844,0.656567203579471,1,kriging,1.93312238515141
athey2017estimation2,mse,500,10,0.5,0.19675862393342,0.997358650434762,0.379247541772202,0.204415490152314,1,earth,1.22005708728292
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.141671979102839
athey2015machine1,mse,500,10,0.5,0.31032563582994,0.788071842165664,0.484049448277801,0.629870204953477,1,kriging,0.0768236691927424
athey2015machine1,mse,500,10,0.5,0.411267991177738,0.995067659532651,0.252668455708772,0.987361827865243,1,earth,0.233164991976108
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.86459518114
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,3.1067834749345e-05
xlearners6,mse,500,20,0.483750625280663,0.5,0.569567295257002,0.714684939244762,0.291988565819338,1,earth,1.72915460516609e-05
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,6.23669369751318e-06
xlearners6,mse,2000,20,0.5,0.794054684462026,0.958235544152558,0.120263104559854,0.992363977245986,1,kriging,1.05888291721225e-06
xlearners6,mse,2000,20,0.5,0.60149947903119,0.78525735065341,0.0968990854453295,0.98974914313294,1,earth,5.83376132470322e-06
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,6.32553637050609e-08
athey2015machine1,mse,500,10,0.5,0.320260067703202,0.766403674148023,0.423506686231121,0.631730391643941,1,kriging,0.151888092902684
athey2015machine1,mse,500,10,0.5,0.12496149004437,0.985714723356068,0.521995372371748,0.429059253772721,1,earth,0.000696100697194661
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.6579126062371
athey2017estimation1,mse,500,10,0.5,0.367817323422059,0.818326581269503,0.337851036572829,0.790186244994402,1,kriging,0.648700367360588
athey2017estimation1,mse,500,10,0.5,0.134618934243917,0.999737014761195,0.5136888185516,0.634424228221178,1,earth,0.996935933188196
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.137823811403584
xlearners1,mse,2000,10,0.5,0.050226679770276,0.692800248973072,0.518676360137761,0.857346653472632,1,kriging,16.0185132945692
xlearners1,mse,2000,10,0.5,0.00386828766204417,0.03317198343575,0.811297153122723,0.943601067177951,1,earth,16.0313917035493
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,8.57528154935253
xlearners4,mse,500,10,0.5,0.172125518787652,0.933159288717434,0.142306619556621,0.948974346043542,1,kriging,0.00906584035978902
xlearners4,mse,500,10,0.5,0.0128867488820106,0.535887319827452,0.0545123822521418,0.983976711984724,1,earth,0.0121654024140833
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00920654300763086
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,1.29894548673516e-05
xlearners6,mse,500,20,0.570661706151441,0.5,0.47843607282266,0.497307454701513,0.0821882081218064,1,earth,1.36428131729052e-05
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,4.13821986423783e-06
athey2017estimation2,mse,2000,10,0.5,0.47679429454729,0.887743593193591,0.263933500973508,0.552248980849981,1,kriging,0.870477871107276
athey2017estimation2,mse,2000,10,0.5,0.496744371950626,0.982195568503812,0.504126957384869,0.745527754770592,1,earth,1.84508409673247
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.066846179200018
xlearners1,mse,2000,10,0.5,0.0883427560329437,0.526391685241833,0.34912345930934,0.632588342996314,1,kriging,9.2624859379056
xlearners1,mse,2000,10,0.5,0.0604759964626282,0.929732765536755,0.0747668268159032,0.939617761643603,1,earth,9.53595097366688
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,7.14149866955845
athey2015machine1,mse,2000,10,0.5,0.328054376412183,0.769794886698946,0.545502234017476,0.715634875698015,1,kriging,0.02257554915734
athey2015machine1,mse,2000,10,0.5,0.388906439067796,0.997997922357172,0.247937399893999,0.859862809535116,1,earth,0.538406654192361
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.82244582870389
xlearners4,mse,500,10,0.5,0.13513191556558,0.829573622206226,0.277437973767519,0.943450608756393,1,kriging,0.0105843752849543
xlearners4,mse,500,10,0.5,0.0281350503209978,0.287334880093113,0.138606908498332,0.893501312704757,1,earth,0.00931089787066649
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0319970728637666
xlearners1,mse,500,10,0.5,0.02851795963943,0.749886105302721,0.275243116542697,0.964411017950624,1,kriging,12.4767738869743
xlearners1,mse,500,10,0.5,0.00912101962603629,0.987934274598956,0.577881234232336,0.988924172241241,1,earth,16.1222483371266
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.4485975595885
xlearners1,mse,2000,10,0.5,0.0035480703227222,0.662684982642531,0.628047263249755,0.857402368914336,1,kriging,16.5627627917309
xlearners1,mse,2000,10,0.5,0.00268120993860066,0.655074581503868,0.0834193276241422,0.947516631800681,1,earth,8.70986841134895
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,4.0963962947027
athey2015machine1,mse,2000,10,0.5,0.375768340425566,0.836031896295026,0.428782426519319,0.523460719268769,1,kriging,0.441406189936351
athey2015machine1,mse,2000,10,0.5,0.105910510523245,0.471164836781099,0.263503563357517,0.324275160674006,1,earth,0.533117946633804
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.50937497167384
athey2015machine1,mse,2000,10,0.5,0.26079039555043,0.702702389098704,0.561272599035874,0.279116121586412,1,kriging,0.000130912325252684
athey2015machine1,mse,2000,10,0.5,0.262363707413897,0.594292525900528,0.447776026790962,0.429885893827304,1,earth,0.369857493027948
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.39965244929026
xlearners6,mse,500,20,0.5,0.63226968375966,0.493649370735511,0.0244945292361081,0.992399708135054,1,kriging,1.48414974810925e-05
xlearners6,mse,500,20,0.5,0.884131059749052,0.818448728416115,0.11355003924109,0.340883907862008,1,earth,6.2143121790227e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,3.62639714652074e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,5.97677778114519e-06
xlearners6,mse,500,20,0.00318108289502561,0.5,0.988320922246203,0.978560329414904,0.261858389247209,1,earth,1.20056337383743e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,1.29664806848225e-06
athey2017estimation2,mse,500,10,0.5,0.171215600566939,0.75883472384885,0.457511979388073,0.779493562178686,1,kriging,1.30045212331775
athey2017estimation2,mse,500,10,0.5,0.383161794161424,0.999739008024335,0.0187201031949371,0.2479545136448,1,earth,1.01147864675737
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.105419186115953
athey2017estimation2,mse,500,10,0.5,0.314633747329935,0.912650116952136,0.48073376622051,0.665208459366113,1,kriging,1.38026370639752
athey2017estimation2,mse,500,10,0.5,0.540527560049668,0.985375895164907,0.489479340147227,0.760322190821171,1,earth,1.48323322542368
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.177248467768281
athey2017estimation2,mse,2000,10,0.5,0.403244308661669,0.922979050315917,0.192439350532368,0.625076146796346,1,kriging,0.79209769206082
athey2017estimation2,mse,2000,10,0.5,0.0105286745820194,0.797845710534602,0.97558877710253,0.223609179491177,1,earth,1.6977971777825
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0565794519753214
athey2017estimation2,mse,2000,10,0.5,0.352990540675819,0.831898936768994,0.437318360898644,0.640655806288123,1,kriging,0.955927547307927
athey2017estimation2,mse,2000,10,0.5,0.459028227254748,0.998618210665882,0.916483046254143,0.894755930406973,1,earth,1.79691658973983
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0623658555515597
athey2017estimation2,mse,2000,10,0.5,0.389237204566598,0.792018430773169,0.503667775774375,0.590127594769001,1,kriging,1.73108516528034
athey2017estimation2,mse,2000,10,0.5,0.313166022533551,0.996648578438908,0.389389553107321,0.699939133599401,1,earth,0.925726698182716
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0459263860608163
athey2017estimation2,mse,2000,10,0.5,0.361583108780906,0.852280776016414,0.370489212451503,0.798909034812823,1,kriging,0.950303499185912
athey2017estimation2,mse,2000,10,0.5,0.461281788768247,0.941109142266214,0.798517098184675,0.739621337270364,1,earth,1.8313973900057
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0644927716426152
xlearners1,mse,500,10,0.5,0.0812655028421432,0.369550404837355,0.942821770207956,0.943231420591474,1,kriging,17.645097982941
xlearners1,mse,500,10,0.5,0.00171952252276242,0.153413488995284,0.30968492035754,0.954131118720397,1,earth,12.0534197332127
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,15.3661370360299
athey2017estimation2,mse,2000,10,0.5,0.400867250049487,0.796971227508038,0.216662558028474,0.707025730749592,1,kriging,0.828939141485635
athey2017estimation2,mse,2000,10,0.5,0.535042015602812,0.991180581273511,0.889075679006055,0.812735803425312,1,earth,1.7170520778934
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0730192660913701
athey2015machine1,mse,2000,10,0.5,0.285797271877527,0.76257100678049,0.31351406336762,0.452767758397385,1,kriging,0.495095157584276
athey2015machine1,mse,2000,10,0.5,0.596367718186229,0.993686760310084,0.94828116055578,0.511079925345257,1,earth,1.22711040053996e-05
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.54234034933446
xlearners6,mse,2000,20,0.5,0.416606315877289,0.846226892434061,0.863462721928954,0.953476364025846,1,kriging,1.78705793167409e-07
xlearners6,mse,2000,20,0.5,0.013192763319239,0.773018191102892,0.0502249239943922,0.993170367088169,1,earth,9.3184175846377e-08
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,4.24554833223064e-08
xlearners4,mse,500,10,0.5,0.131958946352825,0.72272217227146,0.113034300738946,0.844368451042101,1,kriging,0.00860069591782302
xlearners4,mse,500,10,0.5,0.151083197677508,0.791963051538914,0.332451345864683,0.997621577465907,1,earth,0.00402786895565263
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00261484906105626
athey2015machine1,mse,2000,10,0.5,0.302137967199087,0.795575705124065,0.228415416087955,0.562783738831058,1,kriging,0.518502584631561
athey2015machine1,mse,2000,10,0.5,0.287391453748569,0.574047895614058,0.516099827131256,0.998173628002405,1,earth,0.00646095134523569
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.67928650176725
xlearners4,mse,500,10,0.5,0.142631652066484,0.568528974661604,0.0318296814803034,0.967182470485568,1,kriging,0.00781785468177016
xlearners4,mse,500,10,0.5,0.0647788054775447,0.467025690944865,0.0427396656014025,0.968735828530043,1,earth,0.00595120471652612
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00396560034285652
athey2015machine1,mse,500,10,0.5,0.292782467324287,0.739366052439436,0.388055087998509,0.832370048621669,1,kriging,0.21119455507274
athey2015machine1,mse,500,10,0.5,0.00313396146520972,0.741780883166939,0.121680244570598,0.918977750698105,1,earth,0.261092858289977
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.38236953086102
xlearners4,mse,500,10,0.5,0.175244551850483,0.842160460073501,0.0524758049286902,0.919846648350358,1,kriging,0.00318186841240771
xlearners4,mse,500,10,0.5,0.124404684407637,0.63357687718235,0.087040651589632,0.914515570737422,1,earth,0.010767180569969
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00427229411864105
athey2017estimation2,mse,500,10,0.5,0.200580159435049,0.982344564283267,0.63776220427826,0.674668192863464,1,kriging,1.91556137482974
athey2017estimation2,mse,500,10,0.5,0.542136184638366,0.991237313952297,0.615036271745339,0.0208855583332479,1,earth,1.91502614163546
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.347709687065052
xlearners1,mse,2000,10,0.5,0.0363498625811189,0.738875596551225,0.478585843229666,0.750518046319485,1,kriging,10.1298326442193
xlearners1,mse,2000,10,0.5,0.0176740956958383,0.874329403974116,0.304876861860976,0.819236711831763,1,earth,8.16316470964831
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,4.98422611259655
athey2017estimation2,mse,2000,10,0.5,0.287089006043971,0.7489853289444,0.471223147818819,0.424018122721463,1,kriging,1.07117678152083
athey2017estimation2,mse,2000,10,0.5,0.0269959454890341,0.985527250915766,0.485653497511521,0.311145765939727,1,earth,1.18713750530909
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0763171204070357
athey2017estimation1,mse,2000,10,0.5,0.456315763061866,0.786657226970419,0.337993106804788,0.605520878918469,1,kriging,0.450681599269267
athey2017estimation1,mse,2000,10,0.5,0.648974507581443,0.992691203719005,0.831212577875704,0.22066547581926,1,earth,0.999905712799447
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0309221677707674
athey2015machine1,mse,2000,10,0.5,0.269761776551604,0.809446419822052,0.605564151657745,0.774163030087948,1,kriging,0.000642096682409377
athey2015machine1,mse,2000,10,0.5,0.0212735976092517,0.408091734861955,0.0512220314703882,0.01695965253748,1,earth,0.858196312626441
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.87655642287843
xlearners1,mse,500,10,0.5,0.0246835709549487,0.524924552999437,0.473398515023291,0.885994424112141,1,kriging,18.6796466461133
xlearners1,mse,500,10,0.5,0.00210634642280638,0.302186753833666,0.35419564973563,0.978902078932151,1,earth,17.7984365534616
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,19.2743747713789
xlearners1,mse,2000,10,0.5,0.0964811469893903,0.678147265687585,0.504378550220281,0.920298219891265,1,kriging,16.528286148846
xlearners1,mse,2000,10,0.5,0.00566679355688393,0.386540219187737,0.33294450188987,0.944719481281936,1,earth,10.223785610328
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,5.71534090357028
athey2017estimation1,mse,2000,10,0.5,0.436406562104821,0.688891974976286,0.794212006265298,0.407052182359621,1,kriging,1.01155143776657
athey2017estimation1,mse,2000,10,0.5,0.737936672754586,0.981119717704132,0.280737013788894,0.737770301755518,1,earth,0.487661695042793
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0824602659367271
athey2017estimation1,mse,500,10,0.5,0.401818500598893,0.78917675674893,0.634951916756108,0.707628490170464,1,kriging,0.992808413081673
athey2017estimation1,mse,500,10,0.5,0.713370235869661,0.985306565882638,0.242943860823289,0.563567830016837,1,earth,0.611934707440904
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.114794286458791
athey2017estimation1,mse,2000,10,0.5,0.35107496753335,0.665871935663745,0.611541185062379,0.379855996929109,1,kriging,1.00939445540791
athey2017estimation1,mse,2000,10,0.5,0.488172745099291,0.96221929974854,0.329396366840228,0.252516654785722,1,earth,0.395457060458544
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0371451627949209
athey2017estimation1,mse,2000,10,0.5,0.500207337550819,0.943523679161444,0.591219469206408,0.586430694209412,1,kriging,1.02056329130884
athey2017estimation1,mse,2000,10,0.5,0.520470277639106,0.984985810238868,0.266420438652858,0.793836135184392,1,earth,0.415040294797935
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0432816337603304
athey2015machine1,mse,2000,10,0.5,0.432758979965001,0.853217499796301,0.371999173192307,0.529994339216501,1,kriging,0.472690872943409
athey2015machine1,mse,2000,10,0.5,0.304513835348189,0.567077988060191,0.832727655069903,0.973888850305229,1,earth,0.000163103970235685
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.75427898528379
xlearners4,mse,2000,10,0.5,0.129503394942731,0.638779444387183,0.145817050244659,0.972279928391799,1,kriging,0.00115401719721145
xlearners4,mse,2000,10,0.5,0.0624221030157059,0.968839171109721,0.0221514033619314,0.99654981540516,1,earth,0.00176719596719792
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00230156788410113
athey2017estimation1,mse,2000,10,0.5,0.448085714131594,0.802910919301212,0.647639311850071,0.546261265641078,1,kriging,0.994941410453255
athey2017estimation1,mse,2000,10,0.5,0.0271555942017585,0.506047985050827,0.366294045932591,0.490988767007366,1,earth,0.487659819165965
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0683670609867103
athey2017estimation2,mse,500,10,0.5,0.389564588898793,0.877911462448537,0.364544023759663,0.507547841174528,1,kriging,1.23363541896202
athey2017estimation2,mse,500,10,0.5,0.521381374448538,0.994236389175057,0.64568560756743,0.0376913940999657,1,earth,1.83131605821579
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.211039212306951
athey2015machine1,mse,2000,10,0.5,0.38339307741262,0.765540744177997,0.327075735665858,0.817016443936154,1,kriging,0.443225691669638
athey2015machine1,mse,2000,10,0.5,0.652342501329258,0.982510209316388,0.976092585595325,0.741474179551005,1,earth,0.0157166594252633
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.52262117514522
athey2017estimation1,mse,2000,10,0.5,0.501783627551049,0.694707859307528,0.280383948935196,0.798618640052155,1,kriging,0.429971986513568
athey2017estimation1,mse,2000,10,0.5,0.752216601744294,0.951132591580972,0.177524290513247,0.681798294652253,1,earth,0.37258891522269
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0583252628672039
xlearners1,mse,2000,10,0.5,0.0115409216377884,0.585837821708992,0.0764318641740829,0.75942128454335,1,kriging,9.13069461152188
xlearners1,mse,2000,10,0.5,0.0255838783923537,0.937436521286145,0.678404334699735,0.404582329327241,1,earth,15.9305142413291
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,6.97127947983795
